37.5925851241521,0.358866717250596,241,17431,Isiolo,"Isiolo Sub County",Wabera,rIdiIpv9fBt,I2LYLqKU6AW,bzOfj0iwfDH
34.6101537146782,-0.687860834189186,1455,18755,Migori,"Rongo Sub County","North Kamagambo Ward",QC41mItjIzF,fT37q3rXQ35,fVra3Pwta0Q
34.6046043753934,-0.759277474164609,1456,27756,Migori,"Rongo Sub County","Central Kamagambo Ward",M8rGveWTIMm,fT37q3rXQ35,fVra3Pwta0Q
34.6073532893012,-0.879822386719855,1457,27179,Migori,"Rongo Sub County","South Kamagambo Ward",DABObbHgPMX,fT37q3rXQ35,fVra3Pwta0Q
34.5438119094094,-0.792095561247252,1458,22874,Migori,"Awendo Sub County","North Sakwa Ward",EmSsP2C6A3h,ka9Uv3Ckcbd,fVra3Pwta0Q
34.5720581905741,-0.939155904630373,1459,36200,Migori,"Awendo Sub County","South Sakwa Ward",OpbsijPbYuv,ka9Uv3Ckcbd,fVra3Pwta0Q
34.5060143746246,-0.840407179650894,1460,22278,Migori,"Awendo Sub County","West Sakwa Ward",nLwQA56EFmD,ka9Uv3Ckcbd,fVra3Pwta0Q
34.5346484702199,-0.864397229066062,1461,27561,Migori,"Awendo Sub County","Central Sakwa Ward",jmeydKjWYw7,ka9Uv3Ckcbd,fVra3Pwta0Q
34.5280213868067,-1.06390619726041,1462,18567,Migori,"Suna East Sub County","God Jope Ward",Fp2Wuqu3GAI,nHEr5EciFh0,fVra3Pwta0Q
34.4979106638429,-1.08289493408903,1463,27645,Migori,"Suna East Sub County","Suna Central Ward",QAxizS8H0d7,nHEr5EciFh0,fVra3Pwta0Q
34.4249005430185,-1.02788986017217,1464,33642,Migori,"Suna East Sub County","Kakrao Ward",SUvzbKCIzyN,nHEr5EciFh0,fVra3Pwta0Q
34.5969262250437,-1.10158093895358,1465,17267,Migori,"Suna East Sub County","Kwa Ward",YKABD0bh2a7,nHEr5EciFh0,fVra3Pwta0Q
34.3332581579595,-1.05396792886,1466,24096,Migori,"Suna West Sub County","Wiga Ward",kxIw7ZzqXPq,VtuwXD7O1O9,fVra3Pwta0Q
34.4092547138892,-1.09816080086679,1467,17952,Migori,"Suna West Sub County","Waseweta Ii Ward",KwrilS23iAS,VtuwXD7O1O9,fVra3Pwta0Q
34.4658142248433,-1.09495498495654,1468,32847,Migori,"Suna West Sub County","Ragana-Oruba Ward",PPEvdyHP6uZ,VtuwXD7O1O9,fVra3Pwta0Q
34.329741048656,-1.12986795895692,1469,19232,Migori,"Suna West Sub County","Wasimbete Ward",c2OOtR8JNjy,VtuwXD7O1O9,fVra3Pwta0Q
34.3999611798487,-0.95706719923885,1470,26786,Migori,"Uriri Sub County","West Kanyamkago Ward",ziaLqezx6rb,fCInDXluNhx,fVra3Pwta0Q
34.4140939556825,-0.876952753452406,1471,30396,Migori,"Uriri Sub County","North Kanyamkago Ward",LXYI6dwqHoR,fCInDXluNhx,fVra3Pwta0Q
34.4579924045298,-0.935020544791285,1472,17814,Migori,"Uriri Sub County","Central Kanyamkago Ward",P9SReXKzjbO,fCInDXluNhx,fVra3Pwta0Q
34.5150804394624,-0.98613275224576,1473,27719,Migori,"Uriri Sub County","South Kanyamkago Ward",FdBel1HNlGu,fCInDXluNhx,fVra3Pwta0Q
34.5701982425873,-1.03126540476098,1474,13036,Migori,"Uriri Sub County","East Kanyamkago Ward",IgyJtGgB69M,fCInDXluNhx,fVra3Pwta0Q
34.1479857154199,-0.805686175219187,1475,21775,Migori,"Nyatike Sub County","Kachieng' Ward",yowhezRzMGg,D2lsuEzZAJP,fVra3Pwta0Q
34.5471237002496,-1.13825085907517,1486,22683,Migori,"Kuria West Sub County","Masaba Ward",zTD1Z6ldaEx,jtBjNpL9FXS,fVra3Pwta0Q
34.6846763043221,-1.34559113267381,1490,20439,Migori,"Kuria East Sub County","Ntimaru West Ward",dkHXkFhXXxJ,THm2tCJa2ZQ,fVra3Pwta0Q
37.0785658144334,-1.36151654303925,1520,28517,Machakos,"Athi River Sub County","Mathatani Ward",ZlcAxf7QN8c,BxfsSc6Svrc,yhCUgGcCcOo
36.943262035987,-1.36590761914246,1521,42154,Machakos,"Athi River Sub County","Syokimau-Mulolongo Ward",TcWlRA6LpLB,BxfsSc6Svrc,yhCUgGcCcOo
37.1967087424421,-1.64452682894878,1522,32055,Machakos,"Machakos Sub County","Kalama Ward",X0dFLUEZDlw,KXc4ez8OAFz,yhCUgGcCcOo
37.2000104901059,-1.51589647681457,1523,25573,Machakos,"Machakos Sub County","Mua Ward",aQ530J1wOWr,KXc4ez8OAFz,yhCUgGcCcOo
37.2456909772827,-1.4234364465282,1524,23736,Machakos,"Machakos Sub County","Mutituni Ward",m6H14WsORB0,KXc4ez8OAFz,yhCUgGcCcOo
37.2799198905377,-1.511380196434,1525,32530,Machakos,"Machakos Sub County","Township Ward",bSXsHJ4bnCw,KXc4ez8OAFz,yhCUgGcCcOo
37.2553842148475,-1.48363112398539,1526,28319,Machakos,"Machakos Sub County","Mumbuni North Ward",W5KRNT7qwnJ,KXc4ez8OAFz,yhCUgGcCcOo
37.2926641731561,-1.54125154691153,1527,32413,Machakos,"Machakos Sub County","Muvuti-Kiima-Kimwe Ward",CJ0xDJy3ZZI,KXc4ez8OAFz,yhCUgGcCcOo
37.2805981223941,-1.68596333909394,1528,24585,Machakos,"Machakos Sub County","Kola Ward",RWCExNJBqjw,KXc4ez8OAFz,yhCUgGcCcOo
37.4168859432821,-1.23881193445419,1529,32142,Machakos,"Mwala Sub County","Mbiuni Ward",mTYNhOlvCK8,fYYivceocJ2,yhCUgGcCcOo
37.4722946640489,-1.34849592711376,1530,32127,Machakos,"Mwala Sub County","Makutano-Mwala Ward",LFDB6rHVYOg,fYYivceocJ2,yhCUgGcCcOo
37.4291863701054,-1.45862389715242,1531,32367,Machakos,"Mwala Sub County","Masii Ward",aN66G7fGx3m,fYYivceocJ2,yhCUgGcCcOo
37.5317718476678,-1.50082266640254,1532,22805,Machakos,"Mwala Sub County","Muthetheni Ward",p3N8fKKiVHr,fYYivceocJ2,yhCUgGcCcOo
